"","Ti","Ni","Cu","Hf","Zr","Nb","Co","Cr","Fe","Mn","Pd","delta.r.mix","H.mix","ou.mix","VEC.mix","numa","EI","mean","sd"
"175982",0.384,0.482,0,0.128,0,0,0,0.006,0,0,0,0.537175837,0.293399523,0.234190645,0.6,0.5,0.0750469199011943,26.5785334354252,3.8584806440747
"210297",0.438,0.48,0.004,0.078,0,0,0,0,0,0,0,0.389047748,0.330537464,0.178490418,0.605405405,0.5,0.0750467933036844,25.3405152908537,4.44407118228104
"2680",0.368,0.474,0,0.156,0,0,0,0.002,0,0,0,0.595943627,0.268519107,0.239389553,0.524324324,0.5,0.0750413913083842,25.8925567579509,4.18460098289457
"168401",0.402,0.476,0.006,0.116,0,0,0,0,0,0,0,0.494569434,0.30974583,0.226776944,0.591891892,0.5,0.0750381511947623,25.6760086496011,4.28663349375894
"42710",0.3,0.464,0.012,0.224,0,0,0,0,0,0,0,0.745925193,0.253566322,0.306614682,0.551351351,0.5,0.0750379322747516,28.0784783948533,3.127399958559
"85314",0.334,0.454,0.024,0.188,0,0,0,0,0,0,0,0.659712515,0.318835937,0.33960993,0.583783784,0.5,0.0750371524991761,26.3465285490042,3.96920181299508
"126696",0.388,0.468,0.012,0.132,0,0,0,0,0,0,0,0.531323008,0.319036272,0.264579177,0.583783784,0.5,0.0750364545397837,25.9311907248297,4.16629459874711
"86859",0.272,0.476,0.002,0.248,0,0,0,0.002,0,0,0,0.809556239,0.204848645,0.274834722,0.559459459,0.75,0.0750358695832006,26.6338459622862,3.8318673510912
"68355",0.298,0.476,0,0.206,0,0,0,0.02,0,0,0,0.740378299,0.267833377,0.320879238,0.589189189,0.5,0.0750327543415903,27.1959771338299,3.5606657113601
"210224",0.382,0.482,0.002,0.134,0,0,0,0,0,0,0,0.547891047,0.281923043,0.221591901,0.602702703,0.5,0.075032241431665,26.834366325616,3.73549361989012
"105098",0.342,0.478,0,0.164,0,0,0,0.016,0,0,0,0.636867192,0.289652281,0.293033173,0.594594595,0.5,0.0750286289813256,27.0360306474291,3.63813686037396
"13216",0.296,0.474,0,0.22,0,0,0,0.01,0,0,0,0.756341834,0.237909275,0.293517697,0.545945946,0.5,0.0750269643832813,28.8738306929732,2.72722942351962
"462181",0.446,0.496,0,0.058,0,0,0,0,0,0,0,0.339560829,0.329093637,0.128546201,0.697297297,0.25,0.0750210306922234,26.196562787136,4.04038571630906
